monitoring_location_id,priority_group,trend,p,slope,intercept,n,data_type,significant
8710701,water_level,insufficient,,,,1,water_level,False
8710702,water_level,decreasing,0.009201853955849826,-0.36054945054945087,410.92631868131866,24,water_level,True
8710703,water_level,insufficient,,,,1,water_level,False
8710901,water_level,insufficient,,,,1,water_level,False
8710902,water_level,insufficient,,,,1,water_level,False
8711701,water_level,insufficient,,,,1,water_level,False
8711704,water_level,insufficient,,,,1,water_level,False
8717101,water_level,insufficient,,,,1,water_level,False
8717202,water_level,insufficient,,,,1,water_level,False
8717401,water_level,no trend,0.11785089502136503,-1.0228571428571505,389.3114285714286,9,water_level,False
8717402,water_level,insufficient,,,,0,water_level,False
8717601,water_level,insufficient,,,,0,water_level,False
8717602,water_level,insufficient,,,,1,water_level,False
8717603,water_level,insufficient,,,,1,water_level,False
8717604,water_level,insufficient,,,,1,water_level,False
8717605,water_level,insufficient,,,,1,water_level,False
8717606,water_level,insufficient,,,,1,water_level,False
8717701,water_level,insufficient,,,,1,water_level,False
8717801,water_level,insufficient,,,,1,water_level,False
8718101,water_level,no trend,0.9169652366288645,0.04799999999999187,403.63800000000003,9,water_level,False
8718201,water_level,insufficient,,,,1,water_level,False
8718301,water_level,insufficient,,,,1,water_level,False
8718402,water_level,insufficient,,,,1,water_level,False
8718403,water_level,insufficient,,,,1,water_level,False
8718404,water_level,insufficient,,,,1,water_level,False
8718405,water_level,insufficient,,,,1,water_level,False
8718502,water_level,insufficient,,,,1,water_level,False
8718504,water_level,insufficient,,,,1,water_level,False
8718603,water_level,no trend,0.06348653056076747,-3.028583333333332,287.3075416666666,8,water_level,False
8718604,water_level,no trend,0.1735462217878534,2.5266666666666735,282.20666666666665,8,water_level,False
8718701,water_level,no trend,0.9169652366288645,-0.13428571428571395,325.90714285714284,9,water_level,False
8718702,water_level,insufficient,,,,0,water_level,False
8718901,water_level,insufficient,,,,1,water_level,False
8718902,water_level,insufficient,,,,1,water_level,False
8719101,water_level,insufficient,,,,1,water_level,False
8719201,water_level,insufficient,,,,1,water_level,False
8719701,water_level,insufficient,,,,1,water_level,False
8719702,water_level,insufficient,,,,1,water_level,False
8719801,water_level,insufficient,,,,2,water_level,False
8725101,water_level,insufficient,,,,1,water_level,False
8725201,water_level,insufficient,,,,1,water_level,False
8725301,water_level,insufficient,,,,1,water_level,False
8725302,water_level,insufficient,,,,1,water_level,False
8725401,water_level,insufficient,,,,1,water_level,False
8725501,water_level,insufficient,,,,0,water_level,False
8725601,water_level,no trend,0.07633274037635718,-1.1047619047619015,206.9890476190476,9,water_level,False
8725602,water_level,insufficient,,,,1,water_level,False
8725603,water_level,insufficient,,,,1,water_level,False
8725802,water_level,no trend,0.46551216987418664,0.23500000000001364,356.4599999999999,9,water_level,False
8725903,water_level,insufficient,,,,1,water_level,False
8726101,water_level,insufficient,,,,1,water_level,False
8726302,water_level,insufficient,,,,1,water_level,False
8726304,water_level,insufficient,,,,1,water_level,False
8726305,water_level,insufficient,,,,2,water_level,False
8726401,water_level,insufficient,,,,1,water_level,False
8726501,water_level,insufficient,,,,2,water_level,False
8726502,water_level,insufficient,,,,1,water_level,False
8726601,water_level,no trend,0.17530808080827365,0.7142857142857153,261.58285714285716,9,water_level,False
8726701,water_level,insufficient,,,,2,water_level,False
8726702,water_level,insufficient,,,,1,water_level,False
8726703,water_level,insufficient,,,,1,water_level,False
8726704,water_level,insufficient,,,,1,water_level,False
8726705,water_level,insufficient,,,,1,water_level,False
8726901,water_level,insufficient,,,,1,water_level,False
8726902,water_level,insufficient,,,,1,water_level,False
8726903,water_level,insufficient,,,,1,water_level,False
8727101,water_level,insufficient,,,,1,water_level,False
8727102,water_level,insufficient,,,,1,water_level,False
8727103,water_level,insufficient,,,,1,water_level,False
8727104,water_level,insufficient,,,,1,water_level,False
8727105,water_level,insufficient,,,,1,water_level,False
8727201,water_level,insufficient,,,,1,water_level,False
8727301,water_level,insufficient,,,,1,water_level,False
8727302,water_level,insufficient,,,,1,water_level,False
8727401,water_level,insufficient,,,,1,water_level,False
8727501,water_level,insufficient,,,,0,water_level,False
8727601,water_level,no trend,1.0,-0.02799999999999348,257.022,9,water_level,False
8727602,water_level,insufficient,,,,1,water_level,False
8727603,water_level,insufficient,,,,1,water_level,False
8727701,water_level,insufficient,,,,1,water_level,False
8727702,water_level,insufficient,,,,1,water_level,False
8727703,water_level,no trend,0.11785089502136503,-2.2362499999999983,319.605,9,water_level,False
8727704,water_level,no trend,0.5480055723613093,2.3325000000000102,289.3125,7,water_level,False
8727705,water_level,no trend,1.0,-3.766666666666661,265.02,4,water_level,False
8727801,water_level,insufficient,,,,1,water_level,False
8727803,water_level,insufficient,,,,1,water_level,False
8727804,water_level,decreasing,8.348462070539853e-07,-0.8072727272727268,298.62227272727273,14,water_level,True
8727901,water_level,insufficient,,,,1,water_level,False
8727902,water_level,insufficient,,,,1,water_level,False
8727903,water_level,no trend,0.2514521865080219,-2.125000000000007,243.98000000000002,9,water_level,False
8727904,water_level,insufficient,,,,1,water_level,False
8728105,water_level,insufficient,,,,1,water_level,False
8728106,water_level,insufficient,,,,1,water_level,False
8728402,water_level,decreasing,0.0274863361115103,-3.2949999999999875,284.35999999999996,5,water_level,True
8728502,water_level,insufficient,,,,1,water_level,False
8728504,water_level,insufficient,,,,1,water_level,False
8728601,water_level,insufficient,,,,1,water_level,False
8728602,water_level,insufficient,,,,1,water_level,False
8728604,water_level,decreasing,0.016260936780450264,-2.322499999999998,230.3975,7,water_level,True
8728701,water_level,no trend,0.5480055723613093,-1.1550000000000011,146.305,7,water_level,False
8728702,water_level,insufficient,,,,1,water_level,False
8728703,water_level,insufficient,,,,1,water_level,False
8728704,water_level,insufficient,,,,0,water_level,False
8728705,water_level,insufficient,,,,1,water_level,False
8728706,water_level,insufficient,,,,1,water_level,False
8728801,water_level,insufficient,,,,1,water_level,False
8728901,water_level,insufficient,,,,1,water_level,False
8728902,water_level,insufficient,,,,1,water_level,False
8729901,water_level,no trend,0.25965635637045015,1.7250000000000014,127.6575,6,water_level,False
8729905,water_level,insufficient,,,,0,water_level,False
8730801,water_level,insufficient,,,,0,water_level,False
8730901,water_level,insufficient,,,,0,water_level,False
8730902,water_level,insufficient,,,,1,water_level,False
8731504,water_level,decreasing,5.4811690058498286e-05,-0.9025000000000002,60.735,13,water_level,True
8731507,water_level,decreasing,0.001845721317696336,-1.2974999999999994,53.4775,11,water_level,True
8731601,water_level,no trend,0.09948281525658187,0.39035714285714285,39.683928571428574,35,water_level,False
8731701,water_level,insufficient,,,,0,water_level,False
8731702,water_level,insufficient,,,,0,water_level,False
8731703,water_level,insufficient,,,,0,water_level,False
8731704,water_level,insufficient,,,,0,water_level,False
8731801,water_level,decreasing,0.037666922228628774,-0.4819999999999993,55.35399999999999,15,water_level,True
8731802,water_level,decreasing,0.03273560958832067,-0.586666666666666,67.44999999999999,13,water_level,True
8731803,water_level,insufficient,,,,3,water_level,False
8731804,water_level,increasing,0.0002155249988615715,0.27241666666666664,53.37404166666667,68,water_level,True
8731805,water_level,decreasing,0.0004701692793138701,-1.0493749999999986,70.33656249999999,12,water_level,True
8731806,water_level,decreasing,0.001845721317696336,-1.1320000000000008,64.38,11,water_level,True
8731807,water_level,decreasing,0.018741136789596657,-2.182142857142857,54.9375,8,water_level,True
8731808,water_level,insufficient,,,,1,water_level,False
8731809,water_level,insufficient,,,,1,water_level,False
8731810,water_level,insufficient,,,,1,water_level,False
8731811,water_level,insufficient,,,,1,water_level,False
8731812,water_level,insufficient,,,,3,water_level,False
8731813,water_level,decreasing,0.008534920414227098,-4.809,88.9125,6,water_level,True
8731814,water_level,decreasing,0.0006767641801210811,-1.1219999999999999,63.579,10,water_level,True
8731815,water_level,insufficient,,,,1,water_level,False
8731816,water_level,decreasing,0.017343359162423466,-1.2276136363636365,53.67568181818182,13,water_level,True
8731824,water_level,insufficient,,,,0,water_level,False
8731825,water_level,insufficient,,,,1,water_level,False
8731828,water_level,insufficient,,,,1,water_level,False
8731829,water_level,insufficient,,,,0,water_level,False
8731901,water_level,decreasing,0.03273560958832067,-1.1753888888888888,50.56233333333333,13,water_level,True
8731902,water_level,decreasing,0.0018616893784448862,-1.009583333333333,50.8075,13,water_level,True
8731903,water_level,increasing,0.014542818527063961,0.3325,41.6825,39,water_level,True
8731904,water_level,no trend,1.0,0.00999999999999801,40.66500000000002,20,water_level,False
8731905,water_level,decreasing,0.004878564475033542,-2.8742857142857137,36.527142857142856,9,water_level,True
8731906,water_level,no trend,0.3923143472853552,0.7471428571428587,36.49642857142856,16,water_level,False
8731907,water_level,no trend,0.4897540517514192,0.04181250000000007,42.812,65,water_level,False
8731908,water_level,no trend,1.0,-0.02000000000000135,26.400000000000006,9,water_level,False
8731909,water_level,no trend,0.6021675277481957,-1.4864285714285719,38.21571428571429,9,water_level,False
8731910,water_level,no trend,0.12720368763109935,0.4958181818181817,26.94509090909091,13,water_level,False
8731911,water_level,no trend,0.08551480563051506,0.535625,35.3065625,20,water_level,False
8731912,water_level,no trend,0.37109336952269745,-0.6533333333333337,34.0,10,water_level,False
8731913,water_level,decreasing,0.007487886815149114,-1.0748333333333329,34.98658333333333,12,water_level,True
8731914,water_level,decreasing,0.012731364269923606,-1.0445,22.392500000000002,11,water_level,True
8731915,water_level,decreasing,0.0006767641801210811,-1.4388888888888889,32.165,10,water_level,True
8731916,water_level,no trend,0.3081795474670539,-2.6366666666666694,47.04750000000001,4,water_level,False
8731917,water_level,no trend,0.49856438700636985,0.17058823529411757,52.608823529411765,22,water_level,False
8731918,water_level,insufficient,,,,0,water_level,False
8731920,water_level,insufficient,,,,0,water_level,False
8731923,water_level,insufficient,,,,1,water_level,False
8731925,water_level,insufficient,,,,1,water_level,False
8731926,water_level,insufficient,,,,1,water_level,False
8731930,water_level,insufficient,,,,1,water_level,False
8731931,water_level,insufficient,,,,1,water_level,False
8731932,water_level,insufficient,,,,1,water_level,False
8731933,water_level,insufficient,,,,0,water_level,False
8731935,water_level,insufficient,,,,0,water_level,False
8732406,water_level,insufficient,,,,0,water_level,False
8732407,water_level,insufficient,,,,0,water_level,False
8732408,water_level,insufficient,,,,0,water_level,False
8732410,water_level,insufficient,,,,0,water_level,False
8733203,water_level,insufficient,,,,1,water_level,False
8733501,water_level,insufficient,,,,1,water_level,False
8733502,water_level,no trend,0.1735462217878534,-0.13250000000000384,168.10875,8,water_level,False
8733601,water_level,insufficient,,,,1,water_level,False
8733801,water_level,insufficient,,,,1,water_level,False
8733901,water_level,insufficient,,,,1,water_level,False
8733902,water_level,insufficient,,,,1,water_level,False
8733903,water_level,insufficient,,,,1,water_level,False
8733904,water_level,insufficient,,,,1,water_level,False
8734301,water_level,insufficient,,,,1,water_level,False
8734302,water_level,insufficient,,,,1,water_level,False
8734303,water_level,no trend,0.9169652366288645,-0.20595238095238175,280.81380952380954,9,water_level,False
8734304,water_level,insufficient,,,,1,water_level,False
8734601,water_level,insufficient,,,,1,water_level,False
8734603,water_level,insufficient,,,,1,water_level,False
8734604,water_level,no trend,0.7105230229164894,-0.9685000000000002,207.76475,8,water_level,False
8734701,water_level,insufficient,,,,1,water_level,False
8734702,water_level,insufficient,,,,1,water_level,False
8734703,water_level,insufficient,,,,1,water_level,False
8734704,water_level,insufficient,,,,1,water_level,False
8734902,water_level,insufficient,,,,1,water_level,False
8734903,water_level,insufficient,,,,1,water_level,False
8735101,water_level,insufficient,,,,1,water_level,False
8735102,water_level,insufficient,,,,1,water_level,False
8735103,water_level,insufficient,,,,1,water_level,False
8735104,water_level,insufficient,,,,1,water_level,False
8735105,water_level,insufficient,,,,1,water_level,False
8735106,water_level,insufficient,,,,1,water_level,False
8735107,water_level,insufficient,,,,1,water_level,False
8735201,water_level,insufficient,,,,1,water_level,False
8735202,water_level,insufficient,,,,1,water_level,False
8735401,water_level,decreasing,0.018741136789596657,-0.5375000000000014,273.22625000000005,8,water_level,True
8735402,water_level,insufficient,,,,1,water_level,False
8735403,water_level,insufficient,,,,1,water_level,False
8735405,water_level,insufficient,,,,1,water_level,False
8735406,water_level,insufficient,,,,1,water_level,False
8735501,water_level,insufficient,,,,1,water_level,False
8735502,water_level,insufficient,,,,1,water_level,False
8735503,water_level,insufficient,,,,1,water_level,False
8735504,water_level,insufficient,,,,1,water_level,False
8735601,water_level,insufficient,,,,1,water_level,False
8735602,water_level,insufficient,,,,1,water_level,False
8735701,water_level,insufficient,,,,1,water_level,False
8735804,water_level,insufficient,,,,1,water_level,False
8735805,water_level,insufficient,,,,1,water_level,False
8735806,water_level,no trend,0.536186771900174,-0.2274999999999982,240.89624999999998,8,water_level,False
8735807,water_level,insufficient,,,,1,water_level,False
8735808,water_level,insufficient,,,,1,water_level,False
8735903,water_level,insufficient,,,,1,water_level,False
8736102,water_level,insufficient,,,,1,water_level,False
8736201,water_level,no trend,0.11785089502136503,-1.1895000000000024,196.418,9,water_level,False
8736202,water_level,insufficient,,,,1,water_level,False
8736301,water_level,insufficient,,,,1,water_level,False
8736501,water_level,insufficient,,,,1,water_level,False
8736502,water_level,insufficient,,,,1,water_level,False
8736601,water_level,insufficient,,,,1,water_level,False
8736603,water_level,insufficient,,,,1,water_level,False
8736802,water_level,insufficient,,,,1,water_level,False
8736803,water_level,insufficient,,,,1,water_level,False
8736804,water_level,decreasing,0.0274863361115103,-1.6875,166.395,5,water_level,True
8736901,water_level,insufficient,,,,1,water_level,False
8736902,water_level,insufficient,,,,1,water_level,False
8736903,water_level,insufficient,,,,1,water_level,False
8736904,water_level,insufficient,,,,1,water_level,False
8737102,water_level,insufficient,,,,0,water_level,False
8737203,water_level,insufficient,,,,1,water_level,False
8737204,water_level,insufficient,,,,0,water_level,False
8737301,water_level,decreasing,0.014337900827245509,-0.2668830128205139,144.81418669871798,32,water_level,True
8737304,water_level,insufficient,,,,0,water_level,False
8737305,water_level,insufficient,,,,0,water_level,False
8737306,water_level,insufficient,,,,0,water_level,False
8737309,water_level,insufficient,,,,1,water_level,False
8737401,water_level,insufficient,,,,0,water_level,False
8737501,water_level,insufficient,,,,0,water_level,False
8737601,water_level,insufficient,,,,0,water_level,False
8737603,water_level,insufficient,,,,0,water_level,False
8737604,water_level,insufficient,,,,0,water_level,False
8737701,water_level,insufficient,,,,0,water_level,False
8737702,water_level,no trend,0.06410357671243583,0.4969999999999999,155.44150000000002,12,water_level,False
8737703,water_level,increasing,0.01600615515316317,0.5666666666666723,154.29666666666665,14,water_level,True
8737801,water_level,insufficient,,,,0,water_level,False
8738101,water_level,insufficient,,,,1,water_level,False
8738103,water_level,insufficient,,,,0,water_level,False
8738104,water_level,insufficient,,,,0,water_level,False
8738201,water_level,increasing,0.0005394591428529161,0.8136153846153835,109.72950000000002,40,water_level,True
8738202,water_level,insufficient,,,,1,water_level,False
8738204,water_level,insufficient,,,,0,water_level,False
8738206,water_level,insufficient,,,,1,water_level,False
8738208,water_level,insufficient,,,,0,water_level,False
8738209,water_level,insufficient,,,,0,water_level,False
8738401,water_level,insufficient,,,,0,water_level,False
8738601,water_level,insufficient,,,,0,water_level,False
8738701,water_level,insufficient,,,,0,water_level,False
8738702,water_level,insufficient,,,,0,water_level,False
8738801,water_level,insufficient,,,,0,water_level,False
8738802,water_level,insufficient,,,,0,water_level,False
8738804,water_level,insufficient,,,,1,water_level,False
8739201,water_level,decreasing,0.01226606138621289,-0.7340000000000003,49.248000000000005,10,water_level,True
8739202,water_level,decreasing,0.00914914757959373,-1.2546666666666666,57.66866666666667,9,water_level,True
8739203,water_level,insufficient,,,,2,water_level,False
8739204,water_level,decreasing,0.00914914757959373,-1.2269999999999996,57.848,9,water_level,True
8739205,water_level,insufficient,,,,0,water_level,False
8739206,water_level,insufficient,,,,0,water_level,False
8739207,water_level,insufficient,,,,0,water_level,False
8739208,water_level,insufficient,,,,0,water_level,False
8739301,water_level,increasing,0.002121987216429533,0.5299999999999997,44.03000000000001,39,water_level,True
8739302,water_level,no trend,0.12720368763109935,-0.4581249999999999,45.77875,13,water_level,False
8739303,water_level,insufficient,,,,0,water_level,False
8739304,water_level,insufficient,,,,0,water_level,False
8739305,water_level,insufficient,,,,0,water_level,False
8739306,water_level,insufficient,,,,1,water_level,False
8739307,water_level,insufficient,,,,0,water_level,False
8739308,water_level,decreasing,0.016393316888809073,-0.4991319444444443,52.28522569444444,12,water_level,True
8739309,water_level,insufficient,,,,0,water_level,False
8739310,water_level,insufficient,,,,0,water_level,False
8739311,water_level,insufficient,,,,0,water_level,False
8739313,water_level,insufficient,,,,0,water_level,False
8739402,water_level,insufficient,,,,0,water_level,False
8739501,water_level,insufficient,,,,0,water_level,False
8739502,water_level,insufficient,,,,0,water_level,False
8739601,water_level,insufficient,,,,0,water_level,False
8739902,water_level,insufficient,,,,0,water_level,False
8740101,water_level,insufficient,,,,0,water_level,False
8740202,water_level,insufficient,,,,1,water_level,False
8740203,water_level,insufficient,,,,1,water_level,False
8740405,water_level,insufficient,,,,1,water_level,False
8740407,water_level,no trend,0.511220344688192,-0.18666666666666665,56.208333333333336,14,water_level,False
8740503,water_level,insufficient,,,,1,water_level,False
8740601,water_level,insufficient,,,,0,water_level,False
8740602,water_level,insufficient,,,,0,water_level,False
8740702,water_level,insufficient,,,,0,water_level,False
8740801,water_level,insufficient,,,,0,water_level,False
8740802,water_level,insufficient,,,,0,water_level,False
8740901,water_level,insufficient,,,,1,water_level,False
8741302,water_level,insufficient,,,,1,water_level,False
8741303,water_level,insufficient,,,,1,water_level,False
8741304,water_level,insufficient,,,,1,water_level,False
8741305,water_level,insufficient,,,,1,water_level,False
8741307,water_level,insufficient,,,,1,water_level,False
8742101,water_level,insufficient,,,,1,water_level,False
8742102,water_level,insufficient,,,,1,water_level,False
8742103,water_level,decreasing,3.386315270414997e-06,-0.19125000000000014,122.50375000000001,39,water_level,True
8742201,water_level,insufficient,,,,1,water_level,False
8742202,water_level,insufficient,,,,1,water_level,False
8742203,water_level,insufficient,,,,1,water_level,False
8742205,water_level,insufficient,,,,1,water_level,False
8742206,water_level,insufficient,,,,1,water_level,False
8742207,water_level,insufficient,,,,1,water_level,False
8742302,water_level,insufficient,,,,1,water_level,False
8742303,water_level,increasing,0.0024990288576112185,2.138571428571429,116.68571428571428,9,water_level,True
8742305,water_level,insufficient,,,,1,water_level,False
8742306,water_level,insufficient,,,,1,water_level,False
8742308,water_level,insufficient,,,,1,water_level,False
8743101,water_level,insufficient,,,,1,water_level,False
8743301,water_level,insufficient,,,,3,water_level,False
8743302,water_level,insufficient,,,,1,water_level,False
8743303,water_level,insufficient,,,,1,water_level,False
8743304,water_level,insufficient,,,,1,water_level,False
8743306,water_level,insufficient,,,,1,water_level,False
8743307,water_level,insufficient,,,,1,water_level,False
8743308,water_level,insufficient,,,,1,water_level,False
8743309,water_level,insufficient,,,,1,water_level,False
8743401,water_level,insufficient,,,,1,water_level,False
8743402,water_level,insufficient,,,,1,water_level,False
8743404,water_level,insufficient,,,,0,water_level,False
8743405,water_level,insufficient,,,,1,water_level,False
8743406,water_level,insufficient,,,,1,water_level,False
8743409,water_level,no trend,0.80649594050734,-0.14583333333333215,122.83166666666665,5,water_level,False
8743501,water_level,insufficient,,,,1,water_level,False
8743503,water_level,insufficient,,,,1,water_level,False
8743504,water_level,increasing,0.01648865672767008,1.0654761904761907,141.34809523809525,9,water_level,True
8743505,water_level,insufficient,,,,1,water_level,False
8743506,water_level,insufficient,,,,2,water_level,False
8743601,water_level,insufficient,,,,1,water_level,False
8743602,water_level,no trend,0.7544541774940892,0.097291666666667,104.58083333333333,9,water_level,False
8743603,water_level,insufficient,,,,0,water_level,False
8743604,water_level,insufficient,,,,1,water_level,False
8743606,water_level,insufficient,,,,1,water_level,False
8743701,water_level,insufficient,,,,1,water_level,False
8743802,water_level,insufficient,,,,1,water_level,False
8743805,water_level,insufficient,,,,1,water_level,False
8743806,water_level,insufficient,,,,1,water_level,False
8743807,water_level,insufficient,,,,1,water_level,False
8743808,water_level,insufficient,,,,1,water_level,False
8743809,water_level,insufficient,,,,1,water_level,False
8743811,water_level,insufficient,,,,1,water_level,False
8743813,water_level,no trend,0.6921807727218765,-0.07800000000000011,116.936,15,water_level,False
8743901,water_level,insufficient,,,,1,water_level,False
8743902,water_level,insufficient,,,,1,water_level,False
8743903,water_level,insufficient,,,,1,water_level,False
8743904,water_level,insufficient,,,,1,water_level,False
8743906,water_level,insufficient,,,,0,water_level,False
8743907,water_level,insufficient,,,,1,water_level,False
8743909,water_level,no trend,0.7544541774940892,0.0894285714285713,95.99228571428571,9,water_level,False
8743913,water_level,insufficient,,,,1,water_level,False
8743914,water_level,insufficient,,,,3,water_level,False
8744101,water_level,insufficient,,,,1,water_level,False
8744102,water_level,insufficient,,,,1,water_level,False
8744203,water_level,insufficient,,,,2,water_level,False
8744204,water_level,no trend,0.13285495573105366,-2.913333333333336,162.58333333333334,6,water_level,False
8744205,water_level,insufficient,,,,1,water_level,False
8744401,water_level,insufficient,,,,1,water_level,False
8744402,water_level,insufficient,,,,1,water_level,False
8744501,water_level,increasing,3.7418959772939075e-06,0.570999999999998,180.43850000000003,34,water_level,True
8744502,water_level,no trend,0.5480055723613093,0.15000000000000568,208.68999999999997,7,water_level,False
8744504,water_level,insufficient,,,,1,water_level,False
8744505,water_level,insufficient,,,,1,water_level,False
8744506,water_level,insufficient,,,,2,water_level,False
8744507,water_level,insufficient,,,,0,water_level,False
8744508,water_level,insufficient,,,,0,water_level,False
8744510,water_level,insufficient,,,,0,water_level,False
8744701,water_level,insufficient,,,,1,water_level,False
8744702,water_level,insufficient,,,,1,water_level,False
8744703,water_level,insufficient,,,,1,water_level,False
8744704,water_level,insufficient,,,,1,water_level,False
8744801,water_level,insufficient,,,,0,water_level,False
8744802,water_level,insufficient,,,,0,water_level,False
8744803,water_level,insufficient,,,,0,water_level,False
8744805,water_level,insufficient,,,,0,water_level,False
8744806,water_level,insufficient,,,,0,water_level,False
8744901,water_level,insufficient,,,,0,water_level,False
8745101,water_level,insufficient,,,,0,water_level,False
8745102,water_level,insufficient,,,,0,water_level,False
8745201,water_level,insufficient,,,,0,water_level,False
8745301,water_level,insufficient,,,,1,water_level,False
8745302,water_level,insufficient,,,,0,water_level,False
8745401,water_level,insufficient,,,,0,water_level,False
8745402,water_level,insufficient,,,,0,water_level,False
8745501,water_level,insufficient,,,,0,water_level,False
8745602,water_level,insufficient,,,,1,water_level,False
8745603,water_level,insufficient,,,,0,water_level,False
8745701,water_level,insufficient,,,,1,water_level,False
8745801,water_level,insufficient,,,,1,water_level,False
8745802,water_level,insufficient,,,,0,water_level,False
8745803,water_level,insufficient,,,,1,water_level,False
8745805,water_level,insufficient,,,,0,water_level,False
8745901,water_level,insufficient,,,,1,water_level,False
8745902,water_level,insufficient,,,,1,water_level,False
8746203,water_level,insufficient,,,,0,water_level,False
8746204,water_level,insufficient,,,,0,water_level,False
8746302,water_level,insufficient,,,,1,water_level,False
8746401,water_level,decreasing,0.03182312738649018,-1.4324999999999974,180.10375,10,water_level,True
8746404,water_level,insufficient,,,,1,water_level,False
8746405,water_level,insufficient,,,,0,water_level,False
8746406,water_level,insufficient,,,,0,water_level,False
8746408,water_level,insufficient,,,,1,water_level,False
8746502,water_level,insufficient,,,,0,water_level,False
8746503,water_level,insufficient,,,,0,water_level,False
8746601,water_level,insufficient,,,,1,water_level,False
8746602,water_level,insufficient,,,,1,water_level,False
8746603,water_level,insufficient,,,,1,water_level,False
8746604,water_level,insufficient,,,,1,water_level,False
8746605,water_level,insufficient,,,,0,water_level,False
8746606,water_level,insufficient,,,,0,water_level,False
8746607,water_level,insufficient,,,,1,water_level,False
8746608,water_level,no trend,0.7317017232242102,-0.0937499999999988,103.750625,12,water_level,False
8746609,water_level,decreasing,0.046744941053711075,-0.6431249999999995,109.67218749999999,12,water_level,True
8746701,water_level,insufficient,,,,0,water_level,False
8746705,water_level,insufficient,,,,1,water_level,False
8746706,water_level,insufficient,,,,1,water_level,False
8746708,water_level,insufficient,,,,0,water_level,False
8746709,water_level,insufficient,,,,1,water_level,False
8746801,water_level,insufficient,,,,0,water_level,False
8746803,water_level,insufficient,,,,1,water_level,False
8746804,water_level,insufficient,,,,1,water_level,False
8746805,water_level,insufficient,,,,0,water_level,False
8746806,water_level,insufficient,,,,0,water_level,False
8746901,water_level,insufficient,,,,1,water_level,False
8746902,water_level,insufficient,,,,0,water_level,False
8746904,water_level,insufficient,,,,1,water_level,False
8746905,water_level,insufficient,,,,0,water_level,False
8746906,water_level,insufficient,,,,1,water_level,False
8746907,water_level,insufficient,,,,1,water_level,False
8746908,water_level,insufficient,,,,0,water_level,False
8746909,water_level,insufficient,,,,1,water_level,False
8746910,water_level,insufficient,,,,0,water_level,False
8746911,water_level,insufficient,,,,0,water_level,False
8746912,water_level,insufficient,,,,1,water_level,False
8746913,water_level,insufficient,,,,0,water_level,False
8746914,water_level,insufficient,,,,0,water_level,False
8747101,water_level,insufficient,,,,0,water_level,False
8747201,water_level,insufficient,,,,3,water_level,False
8747202,water_level,insufficient,,,,0,water_level,False
8747203,water_level,insufficient,,,,2,water_level,False
8747204,water_level,insufficient,,,,1,water_level,False
8747205,water_level,insufficient,,,,1,water_level,False
8747206,water_level,insufficient,,,,1,water_level,False
8747207,water_level,insufficient,,,,2,water_level,False
8747208,water_level,insufficient,,,,1,water_level,False
8747209,water_level,insufficient,,,,2,water_level,False
8747211,water_level,insufficient,,,,0,water_level,False
8747402,water_level,insufficient,,,,1,water_level,False
